Order_Date,Product_Category,Product_Price,Order_Quantity,Discount_Applied,Shipping_Method,Payment_Method,User_Age,User_Gender,User_Location,Return_Status,Order_Value
2024-03-17,Clothing,630.87,2,28.85,Standard,Debit Card,28,Female,City95,Not Returned,897.72801
2022-06-02,Toys,1716.19,1,20.92,Next-Day,Wallet,24,Male,City96,Not Returned,1357.1630519999999
2024-03-16,Electronics,480.72,1,4.58,Next-Day,Debit Card,64,Female,City63,Returned,458.703024
2024-03-09,Electronics,1600.22,4,22.26,Next-Day,Credit Card,40,Female,City99,Returned,4976.044112
2022-09-28,Electronics,649.78,2,22.75,Express,Debit Card,46,Male,City45,Not Returned,1003.9100999999999
2024-07-14,Clothing,775.21,3,6.07,Standard,Debit Card,38,Male,City84,Not Returned,2184.4642590000003
2023-06-05,Clothing,1822.0,2,9.2,Next-Day,Credit Card,59,Male,City4,Not Returned,3308.752
2024-08-19,Clothing,557.77,2,34.84,Next-Day,COD,27,Male,City62,Returned,726.885864
2023-07-08,Clothing,170.45,4,29.79,Standard,COD,31,Male,City36,Not Returned,478.69177999999994
2024-01-25,Clothing,1966.37,3,40.0,Next-Day,Debit Card,51,Female,City59,Not Returned,3539.466
2025-06-16,Toys,1709.0,3,44.94,Standard,Wallet,31,Male,City62,Returned,2822.9262
2022-11-13,Toys,1371.61,5,36.03,Next-Day,Credit Card,42,Female,City11,Not Returned,4387.094584999999
2024-08-15,Toys,1878.54,3,11.75,Standard,COD,27,Female,City6,Not Returned,4973.43465
2022-03-29,Clothing,313.01,4,46.58,Express,Credit Card,39,Female,City63,Not Returned,668.8397679999999
2022-05-17,Electronics,143.57,5,29.55,Express,Debit Card,64,Female,City4,Returned,505.72532499999994
2022-12-08,Books,1904.3,5,34.48,Express,COD,63,Male,City80,Not Returned,6238.4868
2023-12-06,Toys,1655.42,2,25.34,Next-Day,Wallet,44,Male,City14,Not Returned,2471.8731439999997
2024-01-25,Toys,1890.86,3,36.7,Express,Credit Card,45,Female,City19,Not Returned,3590.74314
2024-01-16,Clothing,1665.49,2,42.06,Standard,Wallet,18,Female,City75,Not Returned,1929.9698119999998
2023-08-19,Home Appliances,1750.42,5,20.87,Express,Debit Card,24,Male,City48,Not Returned,6925.536730000001
2022-04-01,Electronics,1438.49,4,30.91,Standard,Wallet,38,Female,City11,Returned,3975.4109640000006
2024-08-10,Clothing,1206.67,5,38.53,Next-Day,Credit Card,21,Female,City61,Not Returned,3708.7002450000005
2025-05-15,Home Appliances,426.66,4,41.82,Express,Debit Card,46,Male,City33,Returned,992.9231520000001
2023-02-05,Books,1038.75,5,47.62,Standard,Credit Card,46,Male,City77,Not Returned,2720.4862500000004
2023-08-18,Books,1648.31,2,9.04,Standard,Debit Card,47,Female,City39,Not Returned,2998.605552
2025-05-24,Clothing,1615.58,3,4.77,Next-Day,Wallet,18,Male,City10,Not Returned,4615.550502
2023-12-24,Clothing,1866.57,2,1.31,Standard,Debit Card,36,Female,City39,Not Returned,3684.235866
2024-08-29,Electronics,1820.22,3,15.38,Standard,Wallet,65,Female,City59,Not Returned,4620.810492
2022-06-07,Electronics,1122.53,5,3.93,Express,Debit Card,42,Male,City30,Not Returned,5392.072854999999
2023-09-19,Toys,952.26,5,41.84,Next-Day,Debit Card,52,Female,City65,Not Returned,2769.17208
2023-09-21,Home Appliances,1242.99,4,1.98,Next-Day,Credit Card,36,Female,City91,Returned,4873.515192
2024-01-15,Clothing,1409.6,2,25.8,Express,Wallet,34,Female,City16,Not Returned,2091.8464
2024-07-06,Toys,1461.39,2,47.75,Standard,Debit Card,65,Male,City44,Returned,1527.15255
2022-01-12,Home Appliances,413.56,2,19.87,Express,Credit Card,47,Male,City12,Not Returned,662.771256
2023-09-27,Clothing,1941.29,1,31.5,Standard,Debit Card,56,Female,City59,Returned,1329.78365
2022-10-31,Electronics,187.65,4,24.02,Express,Wallet,59,Female,City30,Not Returned,570.30588
2022-01-12,Home Appliances,1304.58,1,19.55,Standard,Wallet,65,Female,City79,Not Returned,1049.53461
2024-07-03,Electronics,1808.6,3,14.58,Next-Day,COD,57,Male,City13,Not Returned,4634.718359999999
2025-06-20,Toys,1118.9,5,38.64,Standard,Credit Card,50,Female,City44,Not Returned,3432.7851999999993
2024-01-15,Clothing,1522.67,2,8.37,Standard,Debit Card,30,Male,City83,Not Returned,2790.4450420000003
2025-07-13,Clothing,747.44,5,28.04,Express,Wallet,61,Female,City72,Not Returned,2689.2891200000004
2023-04-26,Books,859.32,2,27.85,Next-Day,Debit Card,24,Female,City86,Not Returned,1239.9987600000002
2025-01-08,Electronics,645.7,2,49.95,Next-Day,Wallet,59,Male,City59,Not Returned,646.3457
2023-08-14,Electronics,1279.89,3,47.92,Next-Day,Credit Card,65,Male,City4,Returned,1999.7001359999997
2022-01-13,Clothing,1074.14,4,37.59,Standard,Wallet,53,Male,City15,Returned,2681.4830960000004
2022-01-26,Home Appliances,1908.74,4,32.64,Express,Debit Card,56,Female,City22,Returned,5142.9090559999995
2025-04-06,Clothing,736.43,5,27.77,Next-Day,Credit Card,29,Female,City14,Returned,2659.6169449999993
2022-06-02,Clothing,1257.67,3,19.47,Express,Wallet,65,Male,City70,Not Returned,3038.404953
2025-02-20,Clothing,685.74,3,44.47,Express,Credit Card,60,Male,City82,Returned,1142.3742660000003
2023-05-06,Toys,750.17,2,18.38,Next-Day,Debit Card,38,Female,City55,Not Returned,1224.577508
2022-03-29,Clothing,1654.14,3,15.78,Express,Debit Card,43,Female,City93,Not Returned,4179.3501240000005
2022-03-15,Clothing,1146.16,2,27.91,Next-Day,Credit Card,19,Male,City14,Returned,1652.533488
2023-01-30,Electronics,1442.53,3,30.21,Express,Debit Card,35,Female,City77,Not Returned,3020.225061
2025-01-15,Electronics,617.39,3,49.48,Standard,COD,42,Female,City25,Not Returned,935.7162840000002
2023-04-05,Clothing,458.97,3,5.78,Next-Day,Wallet,57,Female,City86,Returned,1297.3246020000001
2022-04-04,Toys,532.51,5,10.6,Standard,Credit Card,50,Male,City17,Returned,2380.3197
2022-06-21,Clothing,1331.15,2,48.6,Express,COD,22,Male,City81,Returned,1368.4222000000002
2024-05-17,Clothing,946.7,5,14.76,Express,COD,62,Female,City66,Returned,4034.8354000000004
2023-10-16,Clothing,417.32,3,28.66,Standard,Debit Card,31,Female,City30,Returned,893.148264
2022-12-24,Clothing,188.14,5,2.45,Next-Day,Debit Card,37,Male,City8,Not Returned,917.65285
2023-01-30,Books,473.42,2,33.85,Standard,Credit Card,36,Female,City70,Returned,626.33466
2023-04-19,Books,1585.84,2,34.48,Express,COD,56,Female,City7,Returned,2078.084736
2024-11-09,Electronics,1906.78,3,16.73,Next-Day,Debit Card,63,Male,City90,Not Returned,4763.327118
2023-12-24,Books,588.43,2,33.0,Standard,Wallet,37,Female,City91,Not Returned,788.4961999999998
2022-04-12,Electronics,1520.1,5,13.51,Next-Day,Debit Card,60,Female,City28,Not Returned,6573.67245
2023-03-08,Electronics,914.71,4,35.98,Standard,Credit Card,33,Female,City23,Returned,2342.3893680000006
2022-03-25,Toys,563.93,4,25.26,Express,Wallet,31,Female,City89,Not Returned,1685.925128
2022-09-12,Clothing,1812.29,2,27.18,Standard,Credit Card,30,Male,City72,Not Returned,2639.419156
2023-12-03,Home Appliances,881.01,3,5.55,Express,Credit Card,55,Female,City38,Returned,2496.3418349999997
2023-02-05,Books,885.7,5,42.79,Express,Wallet,38,Female,City92,Not Returned,2533.54485
2022-10-04,Electronics,1794.57,5,9.42,Next-Day,Debit Card,47,Male,City53,Not Returned,8127.60753
2024-05-13,Clothing,142.1,3,27.52,Next-Day,Wallet,41,Male,City71,Not Returned,308.98224
2025-07-24,Books,1111.15,2,38.45,Next-Day,Debit Card,59,Male,City7,Returned,1367.82565
2023-10-15,Electronics,1524.97,3,3.22,Express,Wallet,33,Female,City88,Returned,4427.597898
2025-01-16,Clothing,625.21,1,49.46,Standard,Wallet,60,Female,City42,Returned,315.98113400000005
2024-06-18,Clothing,1968.23,5,33.76,Next-Day,Debit Card,55,Male,City93,Returned,6518.777760000001
2025-04-13,Clothing,1284.18,5,6.73,Next-Day,Wallet,19,Male,City91,Not Returned,5988.77343
2025-07-30,Electronics,1423.44,4,40.33,Express,Credit Card,18,Male,City8,Not Returned,3397.466592
2025-06-08,Books,919.47,5,24.18,Next-Day,Credit Card,38,Female,City70,Not Returned,3485.71077
2024-09-08,Clothing,1318.34,2,10.04,Next-Day,Credit Card,32,Male,City60,Not Returned,2371.957328
2022-12-25,Toys,139.43,3,0.06,Standard,Wallet,54,Female,City81,Not Returned,418.039026
2023-08-10,Clothing,682.88,3,28.23,Express,Wallet,43,Female,City95,Not Returned,1470.308928
2022-06-17,Electronics,302.72,4,30.99,Express,Wallet,37,Female,City58,Not Returned,835.628288
2024-03-23,Home Appliances,1124.66,3,28.54,Next-Day,Wallet,55,Male,City68,Not Returned,2411.0461080000005
2024-06-12,Home Appliances,200.05,3,15.99,Express,Credit Card,32,Female,City91,Not Returned,504.18601500000005
2022-03-22,Clothing,434.43,1,27.42,Next-Day,Credit Card,64,Female,City65,Not Returned,315.309294
2025-07-10,Clothing,1153.72,4,6.96,Standard,Debit Card,58,Male,City16,Not Returned,4293.684352
2025-03-21,Toys,1274.11,5,36.93,Express,Credit Card,26,Male,City46,Returned,4017.9058849999997
2023-07-01,Books,1301.74,2,22.62,Next-Day,Debit Card,65,Female,City15,Returned,2014.572824
2023-10-16,Toys,1550.01,1,31.32,Next-Day,Debit Card,40,Female,City66,Not Returned,1064.5468680000001
2022-02-05,Toys,1624.75,5,41.63,Standard,Credit Card,34,Male,City96,Not Returned,4741.832875
2023-08-21,Clothing,1083.18,4,43.86,Next-Day,Debit Card,45,Female,City52,Not Returned,2432.389008
2024-08-28,Electronics,1881.56,5,13.19,Express,Debit Card,52,Female,City100,Not Returned,8166.911179999999
2022-04-11,Home Appliances,1302.71,5,28.2,Standard,Wallet,43,Female,City97,Not Returned,4676.7289
2023-05-17,Clothing,1846.41,1,13.53,Standard,Debit Card,59,Female,City23,Not Returned,1596.590727
2024-09-07,Electronics,1675.33,4,28.08,Express,COD,65,Female,City57,Returned,4819.589344
2024-10-19,Electronics,590.11,4,28.4,Standard,COD,34,Female,City14,Returned,1690.07504
2025-03-31,Books,1403.87,4,26.59,Express,Credit Card,61,Female,City30,Not Returned,4122.3238679999995
2025-05-11,Books,1267.46,4,25.27,Express,Debit Card,44,Female,City54,Not Returned,3788.6914320000005
2024-04-08,Toys,1561.79,1,39.58,Standard,Credit Card,51,Female,City39,Not Returned,943.6335180000001
2025-06-05,Electronics,952.25,4,17.15,Express,COD,60,Male,City85,Not Returned,3155.7565
2024-01-28,Toys,544.11,4,49.23,Standard,Credit Card,27,Male,City47,Not Returned,1104.9785880000002
2023-12-23,Books,1413.13,3,11.83,Standard,Debit Card,30,Female,City68,Not Returned,3737.8701630000005
2024-06-27,Books,138.47,1,31.4,Express,Credit Card,45,Female,City92,Returned,94.99041999999999
2022-10-28,Clothing,492.6,4,28.18,Next-Day,Credit Card,18,Female,City60,Not Returned,1415.14128
2025-01-05,Home Appliances,991.53,2,43.95,Standard,COD,57,Female,City81,Not Returned,1111.50513
2022-04-06,Toys,1709.89,3,3.0,Next-Day,Wallet,20,Female,City59,Not Returned,4975.7798999999995
2022-05-22,Home Appliances,1698.96,2,44.77,Next-Day,COD,63,Female,City2,Not Returned,1876.6712160000002
2025-04-29,Home Appliances,1746.7,2,32.85,Standard,Credit Card,61,Male,City13,Returned,2345.8181
2024-10-30,Clothing,1914.34,2,49.67,Standard,Debit Card,47,Male,City52,Not Returned,1926.974644
2024-09-10,Electronics,1847.5,3,39.98,Standard,Debit Card,20,Female,City71,Not Returned,3326.6085000000003
2023-08-22,Clothing,1365.09,2,21.53,Next-Day,Credit Card,52,Male,City55,Not Returned,2142.372246
2025-03-10,Books,509.77,2,43.88,Standard,Debit Card,33,Male,City79,Not Returned,572.1658479999999
2025-05-21,Clothing,1133.31,3,21.07,Express,Wallet,35,Male,City28,Returned,2683.5647489999997
2022-06-30,Books,162.81,4,30.2,Standard,Wallet,18,Male,City84,Not Returned,454.56552
2024-03-11,Electronics,687.59,5,1.22,Next-Day,Credit Card,55,Male,City97,Not Returned,3396.0070100000003
2024-12-08,Home Appliances,575.25,3,26.75,Next-Day,Debit Card,39,Female,City83,Not Returned,1264.1118749999998
2022-09-20,Toys,914.19,3,31.08,Standard,Debit Card,45,Female,City78,Not Returned,1890.1792440000002
2023-12-17,Clothing,605.78,3,24.02,Express,Credit Card,44,Female,City14,Returned,1380.814932
2025-03-06,Clothing,796.86,5,48.8,Express,COD,58,Male,City3,Not Returned,2039.9616
2023-05-14,Clothing,761.6,2,6.44,Standard,Debit Card,51,Female,City82,Not Returned,1425.10592
2024-12-20,Clothing,671.23,5,27.79,Standard,COD,54,Female,City94,Not Returned,2423.475915
2023-08-05,Clothing,324.76,4,18.99,Next-Day,COD,28,Female,City88,Returned,1052.352304
2023-01-14,Electronics,1783.33,4,48.94,Standard,COD,19,Female,City14,Not Returned,3642.2731919999997
2025-08-28,Toys,1406.22,4,43.25,Next-Day,COD,52,Female,City9,Not Returned,3192.1194
2023-03-09,Electronics,902.86,4,47.78,Next-Day,COD,40,Female,City8,Not Returned,1885.893968
2022-12-26,Electronics,515.81,5,34.85,Next-Day,Debit Card,33,Male,City52,Not Returned,1680.2510749999997
2022-03-12,Books,166.57,3,24.18,Next-Day,Credit Card,64,Female,City33,Returned,378.880122
2022-04-27,Home Appliances,772.49,4,38.48,Express,COD,37,Female,City49,Not Returned,1900.943392
2022-11-13,Toys,1941.38,5,23.72,Express,Wallet,33,Male,City85,Not Returned,7404.423320000002
2023-08-24,Clothing,285.79,2,29.11,Next-Day,Debit Card,53,Female,City29,Returned,405.19306200000005
2025-06-05,Clothing,1177.17,1,14.17,Next-Day,Debit Card,54,Male,City46,Returned,1010.3650110000001
2022-08-10,Clothing,248.23,1,14.55,Standard,Credit Card,22,Female,City59,Not Returned,212.112535
2022-09-14,Electronics,981.26,2,4.69,Express,Credit Card,41,Female,City81,Returned,1870.4778119999999
2022-12-20,Clothing,1701.75,2,44.8,Standard,Credit Card,22,Female,City15,Not Returned,1878.7320000000002
2022-12-20,Clothing,758.33,2,36.86,Standard,COD,31,Male,City49,Returned,957.6191239999999
2023-08-19,Clothing,1261.59,2,32.94,Standard,Debit Card,40,Male,City20,Not Returned,1692.0445080000002
2022-10-01,Clothing,527.98,1,36.39,Next-Day,COD,62,Male,City15,Returned,335.848078
2025-05-12,Clothing,1096.21,1,33.32,Express,Wallet,53,Female,City60,Not Returned,730.9528280000001
2025-05-16,Home Appliances,225.04,2,32.95,Express,Wallet,31,Female,City18,Not Returned,301.77864
2022-08-29,Books,217.89,5,25.51,Next-Day,Debit Card,61,Male,City78,Not Returned,811.5313049999999
2022-04-03,Electronics,458.8,3,0.71,Standard,Wallet,38,Male,City26,Returned,1366.6275600000001
2022-01-04,Electronics,1953.81,5,6.74,Standard,Debit Card,34,Female,City6,Not Returned,9110.61603
2023-07-06,Books,441.27,4,42.96,Express,Wallet,61,Male,City37,Not Returned,1006.801632
2025-07-12,Clothing,1862.17,5,43.1,Express,Debit Card,29,Female,City6,Returned,5297.8736499999995
2024-05-16,Toys,817.32,4,1.35,Standard,Debit Card,56,Male,City73,Not Returned,3225.1447200000002
2024-02-25,Clothing,700.98,4,31.0,Standard,Wallet,50,Male,City99,Not Returned,1934.7048
2023-02-06,Electronics,1139.96,4,27.26,Standard,Debit Card,52,Female,City94,Not Returned,3316.8276160000005
2024-12-28,Home Appliances,404.55,3,12.33,Next-Day,Credit Card,46,Female,City3,Returned,1064.006955
2023-01-03,Home Appliances,1124.84,5,28.22,Next-Day,Wallet,20,Male,City50,Not Returned,4037.0507599999996
2023-01-18,Clothing,1501.11,2,43.43,Next-Day,Credit Card,63,Male,City59,Not Returned,1698.355854
2025-05-03,Electronics,184.94,3,46.49,Standard,Credit Card,23,Female,City37,Not Returned,296.8841819999999
2023-05-02,Electronics,399.12,2,11.8,Standard,Wallet,50,Female,City87,Not Returned,704.04768
2023-05-23,Toys,257.1,2,26.28,Next-Day,COD,43,Male,City81,Not Returned,379.06824
2022-08-13,Toys,376.81,3,25.51,Next-Day,Wallet,39,Male,City33,Not Returned,842.057307
2024-11-13,Clothing,607.92,1,33.23,Standard,Wallet,27,Male,City21,Returned,405.90818399999995
2025-05-27,Books,823.6,3,22.13,Standard,Debit Card,61,Male,City40,Not Returned,1924.01196
2023-02-15,Clothing,1980.99,2,49.67,Next-Day,Wallet,44,Female,City15,Not Returned,1994.0645339999999
2023-05-19,Toys,365.59,2,21.84,Express,Debit Card,64,Female,City97,Returned,571.490288
2023-04-19,Books,1121.61,4,11.12,Express,Debit Card,27,Male,City14,Returned,3987.5478719999996
2023-08-30,Books,351.11,4,25.96,Next-Day,COD,59,Male,City87,Not Returned,1039.847376
2022-01-23,Clothing,900.74,4,4.23,Standard,Credit Card,41,Female,City29,Not Returned,3450.554792
2024-10-07,Home Appliances,1551.42,5,42.25,Standard,Credit Card,62,Female,City24,Not Returned,4479.72525
2023-10-15,Home Appliances,1921.54,4,4.71,Next-Day,Debit Card,40,Male,City36,Returned,7324.141863999999
2023-10-23,Electronics,324.69,4,31.4,Next-Day,Credit Card,37,Female,City74,Not Returned,890.94936
2023-11-21,Home Appliances,1451.41,2,47.53,Express,Wallet,58,Male,City90,Returned,1523.1096539999999
2023-07-01,Clothing,1182.67,1,38.0,Standard,Credit Card,49,Female,City17,Not Returned,733.2554
2023-10-02,Clothing,1999.28,5,47.69,Standard,Wallet,29,Female,City55,Not Returned,5229.11684
2023-04-23,Clothing,1797.01,2,36.65,Express,Wallet,22,Male,City15,Not Returned,2276.8116699999996
2023-09-08,Toys,1862.62,4,16.65,Standard,Credit Card,27,Female,City54,Not Returned,6209.97508
2024-02-17,Electronics,1309.7,3,7.68,Next-Day,Wallet,65,Female,City3,Not Returned,3627.3451200000004
2022-01-19,Clothing,403.51,1,26.69,Express,Debit Card,49,Male,City69,Returned,295.813181
2024-01-24,Home Appliances,1953.23,4,0.93,Standard,Debit Card,30,Male,City89,Not Returned,7740.259844
2023-12-31,Toys,245.63,3,19.37,Express,Debit Card,36,Female,City91,Returned,594.154407
2024-08-13,Toys,1592.35,3,37.33,Next-Day,Credit Card,56,Female,City28,Not Returned,2993.7772349999996
2023-03-02,Electronics,1634.38,3,48.46,Standard,COD,42,Female,City39,Returned,2527.078356
2023-03-01,Books,1218.53,4,25.33,Express,Debit Card,36,Male,City80,Not Returned,3639.505404
2024-11-03,Books,1089.62,4,31.14,Express,Credit Card,39,Male,City79,Not Returned,3001.249328
2023-01-05,Toys,329.59,2,29.97,Express,COD,33,Female,City76,Not Returned,461.62375399999996
2025-05-06,Books,101.84,1,21.38,Next-Day,Wallet,49,Male,City26,Not Returned,80.066608
2025-04-25,Clothing,1896.19,5,10.92,Standard,Credit Card,46,Female,City28,Returned,8445.630260000002
2022-08-26,Electronics,1626.47,4,25.04,Express,Debit Card,41,Male,City63,Not Returned,4876.807648
2024-01-16,Books,165.96,2,27.95,Standard,COD,62,Female,City31,Not Returned,239.14836000000003
2022-12-10,Electronics,246.67,1,36.28,Next-Day,Credit Card,31,Male,City37,Not Returned,157.178124
2025-03-26,Books,1192.96,3,6.32,Standard,Wallet,35,Male,City25,Not Returned,3352.694784
2024-07-16,Electronics,1650.69,1,23.94,Standard,Wallet,63,Male,City85,Returned,1255.514814
2023-06-13,Electronics,1822.39,4,43.06,Standard,Credit Card,36,Female,City16,Returned,4150.675464
2024-12-10,Clothing,370.12,5,29.32,Standard,Credit Card,65,Male,City70,Not Returned,1308.00408
2024-03-13,Toys,167.98,2,2.44,Next-Day,Credit Card,42,Female,City55,Not Returned,327.76257599999997
2023-11-05,Toys,650.14,5,1.82,Standard,Wallet,48,Female,City10,Not Returned,3191.53726
2023-08-06,Toys,1885.85,3,49.12,Express,COD,30,Female,City82,Not Returned,2878.56144
2024-10-04,Electronics,1374.02,4,39.71,Next-Day,COD,46,Female,City24,Not Returned,3313.586632
2022-05-27,Electronics,1326.97,4,35.56,Standard,Credit Card,54,Female,City21,Not Returned,3420.397872
2023-09-01,Books,844.68,4,46.81,Next-Day,Wallet,22,Female,City56,Not Returned,1797.141168
2022-09-23,Electronics,1332.25,1,48.91,Next-Day,Debit Card,20,Female,City3,Not Returned,680.646525
2023-02-05,Home Appliances,635.13,3,9.43,Express,Credit Card,30,Female,City92,Not Returned,1725.711723
2022-02-23,Books,110.84,4,13.87,Express,COD,24,Male,City12,Not Returned,381.865968
2025-01-17,Electronics,677.98,1,35.37,Standard,Debit Card,54,Female,City57,Not Returned,438.17847400000005
2022-04-22,Books,1913.62,2,47.18,Next-Day,Debit Card,65,Male,City27,Not Returned,2021.5481679999998
2022-05-16,Clothing,1376.84,1,33.73,Next-Day,Credit Card,31,Female,City2,Not Returned,912.431868
